City_ID,City,Country,Max Temp,Current Description,Latitude,Longitude,Hotel Name
496,Sakakah,SA,19.76,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
497,Gōtsuchō,JP,18.27,broken clouds,35.0,132.2167,Yurusato
501,Greymouth,NZ,15.32,broken clouds,-42.4667,171.2,Copthorne Hotel Greymouth
502,Obigarm,TJ,15.45,broken clouds,38.7173,69.7088,Гармоба
508,Okato,NZ,19.24,light rain,-39.2,173.8833,Stony River House
525,Ankazoabo,MG,19.49,overcast clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
527,Ponta Delgada,PT,16.4,light intensity drizzle,37.7333,-25.6667,Vila Nova Hotel
538,Karoi,ZW,15.39,broken clouds,-16.8099,29.6925,Chikangwe Guest houses
543,Kabare,CD,15.47,overcast clouds,-2.4683,28.8242,Hôtel Panorama
556,Toktogul,KG,18.21,light rain,41.8708,72.9402,KAGAN
601,San Julián,MX,18.75,few clouds,21.0167,-102.1667,La Nueva España
610,Boulder City,US,18.3,broken clouds,35.9786,-114.8325,Boulder Dam Hotel
620,Goma,CD,16.76,overcast clouds,-1.6792,29.2228,"Goma, CENTRE D'ACCUEIL CARITAS"
621,Ushtobe,KZ,15.15,overcast clouds,45.2514,77.9838,Filipin Squad
622,Srinagar,IN,17.71,overcast clouds,34.0833,74.8167,Hotel New Green View
635,Pisco,PE,18.03,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
641,Asilah,MA,15.98,scattered clouds,35.465,-6.0348,Hotel Zelis
648,Chicama,PE,18.3,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
677,Abu Kamal,SY,15.16,clear sky,34.4506,40.9171,محطة التلفاز
